0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:53:44 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:53:44 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:53:44 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:56:34 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:56:39 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:56:43 +0530] "POST /NumberGame/guess HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:56:45 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:56:48 +0530] "POST /NumberGame/guess HTTP/1.1" 200 1429
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:56:50 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1867
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:57:33 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:57:34 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:57:35 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:57:35 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:57:35 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [21/Jun/2025:10:57:36 +0530] "GET /NumberGame/home.jsp HTTP/1.1" 200 1866
