127.0.0.1 - - [06/Jun/2025:16:57:21 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Jun/2025:16:57:23 +0530] "GET /Univ7/Login.jsp HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [06/Jun/2025:16:57:23 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Jun/2025:16:57:36 +0530] "POST /Univ7/LoginServlet HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [06/Jun/2025:16:58:24 +0530] "GET /Univ7/Login.jsp HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [06/Jun/2025:16:58:35 +0530] "POST /Univ7/LoginServlet HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [06/Jun/2025:16:58:48 +0530] "POST /Univ7/LoginServlet HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [06/Jun/2025:16:59:10 +0530] "POST /Univ7/LoginServlet HTTP/1.1" 200 628
0:0:0:0:0:0:0:1 - - [06/Jun/2025:16:59:14 +0530] "GET /Univ7/reg.jsp HTTP/1.1" 404 738
