0:0:0:0:0:0:0:1 - - [21/Aug/2025:22:23:35 +0530] "GET /My-Project/listcourse HTTP/1.1" 200 2869
0:0:0:0:0:0:0:1 - - [21/Aug/2025:22:23:36 +0530] "GET /My-Project/home HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [21/Aug/2025:22:24:30 +0530] "GET /My-Project/searchcourse HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [21/Aug/2025:22:25:20 +0530] "GET /My-Project/home HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [21/Aug/2025:22:25:35 +0530] "GET /My-Project/searchcourse HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [21/Aug/2025:22:31:00 +0530] "GET /My-Project/home HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [21/Aug/2025:22:31:03 +0530] "GET /My-Project/searchcourse HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [21/Aug/2025:22:34:54 +0530] "GET /My-Project/home HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [21/Aug/2025:22:35:06 +0530] "GET /My-Project/searchcourse HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [21/Aug/2025:22:36:30 +0530] "GET /My-Project/home HTTP/1.1" 404 683
